commit,package,additions,deletions,LOC,change
89941a2ba1e4b13c3de9c5cf050e4dbf1edafca3,org.apache.tika.detect,1,1,2541,0
7d89a5e455686a945f2e3302f0d201e5e6c4a985,org.apache.tika.detect,147,26,2662,121
dfcf3d4c7cee2dac641ea5b331965ad03ce37364,org.apache.tika.detect,30,2,2690,28
95b897540065ecb8dc1962cf2383a6a3f355762d,org.apache.tika.detect,6,0,2696,6
7260050594e7a13283d2dbfd1a079149a63d43ac,org.apache.tika.detect,14,7,2703,7
2052fc98acca935fa065ffdca302bc84cfe60ac9,org.apache.tika.detect,2,0,2705,2
76cfbc18533c65ecfc07b3233015b9886938bf08,org.apache.tika.detect,5,0,2710,5
22fc879bf987c2ab1fa24d68c10a97cb4797614e,org.apache.tika.detect,65,3,2772,62
2a36fcd63ddd3234b7f34e6814972bb62aeb4bc9,org.apache.tika.detect,58,16,2814,42
359aae57ce045de191a14bb369e7980154deffc6,org.apache.tika.detect,1,0,2815,1
ee8bc664d8848378205646209f10a0fb5a001555,org.apache.tika.detect,22,3,2834,19
9eaa4fc560810dc689055d0fc80693bc7a3f1dda,org.apache.tika.detect,2,3,2833,-1
6cc0e11b91ee5ebe97ea91fc50a76074f45829c2,org.apache.tika.detect,9,3,2839,6
50dcb7b3e93ad26b006de513dcd51fef4a7d67f4,org.apache.tika.detect,1,1,2839,0
892f3a8b1e44efdf86ec9aed0887de7afcbf01ea,org.apache.tika.detect,8,11,2836,-3
fe76f5716d09471a8751ad5bb88a7650f73d235b,org.apache.tika.detect,9,1,2844,8
44032dea24f5f1d23dd0a53b1a297369e4fe7890,org.apache.tika.detect,12,0,2856,12
3f6d06f8b46a14eba6011d781e5e5a86b5043896,org.apache.tika.detect,6,9,2853,-3
257a53b8a83caa5de9067b9c3b3b5e2b356f674d,org.apache.tika.detect,1,0,2854,1
281fedfc86acbb5e01015f1462a27a86a65403f0,org.apache.tika.detect,93,0,2947,93
39352e988f3a1bf5d294a839330f8dd2400d873d,org.apache.tika.detect,709,0,3656,709
cd91ee48fbac5dc7945cad04d5d7c396cbdcba8a,org.apache.tika.detect,9,5,3660,4
3784cac1f447ccf71c645361335407cf8b65b6e7,org.apache.tika.detect,51,52,3659,-1
c3d82a84eb5a5105672b3b237c139c1921020944,org.apache.tika.detect,6,37,3628,-31
62428f2d6530e9d72f772bd163c010a3bd4f4eb9,org.apache.tika.detect,37,5,3660,32
f4bdbbe73dad9e7b979c4bdabc6312bb2ca0d57c,org.apache.tika.detect,15,20,3655,-5
f71910e2e00b55fbfd339e6d682521f64de0c696,org.apache.tika.detect,20,21,3654,-1
8938fdfa93f8c0647e547e8a04a187fbb5a32603,org.apache.tika.detect,28,57,3625,-29
e7a3a49561cc1f9ffa4cd34307005f559dcefe19,org.apache.tika.detect,2,0,3627,2
e07bbf8edb5403aa8ee77be45ce1bc31f2c162b5,org.apache.tika.detect,32,52,3607,-20
44462fb2314e798969878ee91ea2b620965fa20f,org.apache.tika.detect,265,266,3606,-1
9e9ea27a665506579b329c66bff9934de19e6128,org.apache.tika.detect,9,1,3614,8
d447193f29531df3022f5137b8f0ec1c73e58cc8,org.apache.tika.detect,101,0,3715,101
eede044eab86b5a380ddd8a585e6dda563dc42d3,org.apache.tika.detect,3,2,3716,1
a91d083602f716e3fb92b9b791fd602deceef513,org.apache.tika.detect,5,4,3717,1
114b6044a74fe463b90712345ea8e3b2cb085b62,org.apache.tika.detect,2,2,3717,0
75fc12bb83df079f7fa236e0b674274a8c36abde,org.apache.tika.detect,8,2,3723,6
