Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
tika,org.apache.tika.parser.journal,Country,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.ner.nltk,NLTKNERecogniser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; available; NLTK_REST_HOST; restHostUrlStr; ENTITY_TYPES
tika,org.apache.tika.parser.ner.regex,RegexNERecogniser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NER_REGEX_FILE; LOG; entityTypes; patterns; available; INSTANCE
tika,org.apache.tika.parser.ner,NamedEntityParserTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONFIG_FILE
tika,org.apache.tika.parser.ner,NamedEntityParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; MEDIA_TYPES; MD_KEY_PREFIX; DEFAULT_NER_IMPL; SYS_PROP_NER_IMPL; secondaryParser; nerChain; initialized; available
tika,org.apache.tika.parser.ner,NERecogniser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.geo,NameEntityExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.geo,GeoTag,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.geo,GeoParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.sentiment,SentimentAnalysisParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.sentiment,SentimentAnalysisParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SUPPORTED_TYPES; LOG; DEF_MODEL; classifier; modelPath
tika,org.apache.tika.parser.ner.mitie,MITIENERecogniser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.ner.mitie,MITIENERecogniser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; MODEL_PROP_NAME; ENTITY_TYPES; NamedEntityExtractor_Class; available; extractorInstance
tika,org.apache.tika.parser.ner.opennlp,OpenNLPNERecogniser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MODELS_DIR; PERSON_FILE; LOCATION_FILE; ORGANIZATION_FILE; TIME_FILE; DATE_FILE; PERCENT_FILE; MONEY_FILE; NER_PERSON_MODEL; NER_LOCATION_MODEL; NER_ORGANIZATION_MODEL; NER_TIME_MODEL; NER_DATE_MODEL; NER_PERCENT_MODEL; NER_MONEY_MODEL; DEFAULT_MODELS; entityTypes; nameFinders; available
tika,org.apache.tika.parser.ner.corenlp,CoreNLPNERecogniser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.ner.corenlp,CoreNLPNERecogniser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; NER_3CLASS_MODEL; NER_4CLASS_MODEL; NER_7CLASS_MODEL; DEFAULT_MODEL_PATH; MODEL_PROP_NAME; ENTITY_TYPES; CLASSIFIER_CLASS_NAME; available; firstField; secondField; thirdField; classifierInstance; classifyMethod
tika,org.apache.tika.parser.ner.grobid,GrobidNERecogniser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; available; GROBID_REST_HOST; restHostUrlStr; ENTITY_TYPES
tika,org.apache.tika.parser.geo.gazetteer,Location,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.geo.gazetteer,GeoGazetteerClient,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.ctakes,CTAKESConfig,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
tika,org.apache.tika.parser.ctakes,CTAKESContentHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.ctakes,CTAKESContentHandler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CTAKES_META_PREFIX; config; sb; metadata; ae; jcas
tika,org.apache.tika.parser.ctakes,CTAKESParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.recognition,ObjectRecogniser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.recognition,ObjectRecognitionParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; MD_KEY_OBJ_REC; MD_KEY_IMG_CAP; MD_REC_IMPL_KEY; recogniser
tika,org.apache.tika.parser.recognition,RecognisedObject,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.recognition,AgeRecogniser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; LOG; MD_KEY_ESTIMATED_AGE_RANGE; MD_KEY_ESTIMATED_AGE; agePredictor; config; MEDIA_TYPE; SUPPORTED_TYPES; secondaryParser; available
tika,org.apache.tika.parser.recognition.tf,TensorflowImageRecParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.recognition.tf,TensorflowRESTRecogniser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.recognition.tf,TensorflowRESTVideoRecogniser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.captioning,CaptionObject,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.captioning.tf,TensorflowRESTCaptioner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.pot,PooledTimeSeriesParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.parser.pot,CompositeVideoParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.dl.imagerec,DL4JInceptionV3Net,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.dl.imagerec,DL4JVGG16Net,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.dl.imagerec,DL4JVGG16Net,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; SUPPORTED_MIMES; BASE_DIR; MODEL_DIR; cacheDir; serialize; topN; imageLoader; preProcessor; available; model; imageNetLabels
tika,Tika,Tika,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.language.translate,Lingo24TranslatorTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.language.translate,GoogleTranslatorTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.language.translate,CachedTranslator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.language.translate,ExternalTranslator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.language.translate,AbstractTranslator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika.language.translate,MicrosoftTranslator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; available; clientId; clientSecret; PROPERTIES_FILE; ID_PROPERTY; SECRET_PROPERTY; DEFAULT_ID; DEFAULT_SECRET
tika,org.apache.tika,MockDBWriter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika,MockDBWriter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; mimes
tika,org.apache.tika,SAXPoolResizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika,TikaDetectorRunner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika,TikaRunner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika,Extract,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika,ResourceLoggingClassLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika,TypeDetectionBenchmark,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika,TestInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tika,org.apache.tika,TikaDetectionTest,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: testHttpServerFileExtensions
tika,org.apache.tika,TikaTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AUTO_DETECT_PARSER; xml; metadata; filenames; mediaTypes; skipTypes; bytes
